id,topic,question_en,question_zh,options_en,options_zh,answer_index
110,Set E,On which date is Christmas Day celebrated in the UK?,英國的聖誕節是幾月幾號？,24 December | 25 December | 26 December | 1 January,12月24日 | 12月25日 | 12月26日 | 1月1日,1
111,Set E,What is Boxing Day?,何謂「節禮日」（Boxing Day）？,26 December public holiday | 24 December market day | First Monday of May | 31 December festival,12月26日的公眾假期 | 12月24日的市集日 | 5月第一個星期一 | 12月31日慶典日,0
112,Set E,What is the UK’s central bank?,英國的中央銀行是？,Bank of England | Bank of Scotland | Royal Bank | National Savings,英格蘭銀行 | 蘇格蘭銀行 | 皇家銀行 | 國民儲蓄,0
113,Set E,How is the BBC mainly funded?,BBC 主要的資金來源為何？,TV licence fee | Income tax | Advertising only | Lottery fund,電視牌照費 | 所得稅 | 只靠廣告 | 樂透基金,0
114,Set E,The White Cliffs are a landmark near which town?,著名的白色懸崖位於哪個城鎮附近？,Dover | Brighton | Blackpool | Plymouth,多佛 | 布萊頓 | 黑池 | 普利茅斯,0
115,Set E,Which is a Celtic language of the UK?,以下哪一種屬於英國的凱爾特語言？,Welsh | English | Dutch | Danish,威爾士語 | 英語 | 荷蘭語 | 丹麥語,0
116,Set E,Which sport, played with a bat and ball and wickets, originated in Britain?,哪項使用球棒、球與三柱門的運動源自英國？,Cricket | Baseball | Hockey | Rugby,板球 | 棒球 | 曲棍球 | 橄欖球,0
117,Set E,Who wrote the play “Hamlet”?,《哈姆雷特》的作者是誰？,William Shakespeare | Charles Dickens | Jane Austen | George Orwell,威廉·莎士比亞 | 狄更斯 | 珍·奧斯汀 | 奧威爾,0
118,Set E,Where is Stonehenge located?,巨石陣位於哪個郡？,Wiltshire | Kent | Yorkshire | Norfolk,威爾特郡 | 肯特郡 | 約克郡 | 諾福克郡,0
119,Set E,What is the national flower of Scotland?,蘇格蘭的國花是什麼？,Thistle | Rose | Shamrock | Daffodil,薊花 | 玫瑰 | 酢漿草 | 黃水仙,0
120,Set E,When is St Patrick’s Day celebrated in the UK (Northern Ireland)?,英國（北愛爾蘭）在哪一天慶祝聖派屈克日？,17 March | 1 March | 23 April | 30 November,3月17日 | 3月1日 | 4月23日 | 11月30日,0
