Englandid,topic,question_en,question_zh,options_en,options_zh,answer_index
117,Set E,Who wrote the play “Hamlet”?,《哈姆雷特》的作者是誰？,William Shakespeare | Charles Dickens | Jane Austen | George Orwell,威廉·莎士比亞 | 狄更斯 | 珍·奧斯汀 | 奧威爾,0
118,Set E,Where is Stonehenge located?,巨石陣位於哪個郡？,Wiltshire | Kent | Yorkshire | Norfolk,威爾特郡 | 肯特郡 | 約克郡 | 諾福克郡,0
119,Set E,What is the national flower of Scotland?,蘇格蘭的國花是什麼？,Thistle | Rose | Shamrock | Daffodil,薊花 | 玫瑰 | 酢漿草 | 黃水仙,0
120,Set E,When is St Patrick’s Day celebrated in the UK (Northern Ireland)?,英國（北愛爾蘭）在哪一天慶祝聖派屈克日？,17 March | 1 March | 23 April | 30 November,3月17日 | 3月1日 | 4月23日 | 11月30日,0
121,Set E,"Which principle means everyone must follow the law, including the government?",哪一項原則指所有人（包括政府）都必須遵守法律？,Rule of law | Direct democracy | Judicial review | Royal prerogative,法治 | 直接民主 | 司法覆核 | 王室特權,0
122,Set F,Which freedom protects your right to practise any religion or none?,哪一項自由保障你可信奉任何宗教或無宗教？,Freedom of belief | Freedom of movement | Freedom from taxation | Freedom to bear arms,信仰自由 | 遷徙自由 | 免稅自由 | 持槍自由,0
123,Set F,Which is a responsibility of UK residents?,以下哪一項是英國居民的責任？,Respect the rights of others | Serve in the army | Join a political party | Donate to charity,尊重他人權利 | 必須服兵役 | 必須加入政黨 | 必須捐款予慈善機構,0
124,Set F,"At a citizenship ceremony, new citizens pledge to:",在入籍儀式上，新公民承諾：,Uphold democratic values and obey the law | Support the current government | Pay no taxes for one year | Serve on a jury immediately,維護民主價值並守法 | 支持當前政府 | 一年內免稅 | 立即擔任陪審員,0
125,Set F,Which right ensures a person is judged impartially in court?,哪一項權利確保人在法庭上獲得公正審判？,Right to a fair trial | Right to strike | Right to privacy | Right to petition the monarch,公平審訊權 | 罷工權 | 私隱權 | 向君主請願權,0
126,Set F,Which of the following is NOT a fundamental principle listed in the handbook?,以下哪一項不是手冊列出的基本原則？,Mandatory military service | Democracy | Tolerance of different beliefs | Individual liberty,強制兵役 | 民主 | 包容不同信仰 | 個人自由,0
127,Set F,Which statement about the Life in the UK test is correct?,以下哪一項關於《英國生活》考試是正確的？,It contains 24 questions based on the whole handbook | It can only be taken in Scottish Gaelic | Everyone must also pass a driving test | It is only about British history,全書出題共24題 | 只可用蘇格蘭蓋爾語應考 | 人人還要通過路試 | 只考英國歷史,0
128,Set F,Which is expected of good citizens?,良好公民應該：,Look after the area you live in | Refuse to serve on a jury | Ignore local elections | Carry a weapon for self-defence,照顧居住社區 | 拒絕擔任陪審員 | 忽視地方選舉 | 攜帶武器自衛,0
129,Set F,Where do you book your Life in the UK test online?,在網上應到哪個網站預約《英國生活》考試？,lifeintheuktest.gov.uk | parliament.uk | royal.uk | legislation.gov.uk,lifeintheuktest.gov.uk | parliament.uk | royal.uk | legislation.gov.uk,0
130,Set F,"From October 2013, what additional requirement may apply for settlement?",自2013年10月起，申請定居還需要哪一項？,Evidence of B1 level speaking and listening | A university degree from the UK | Owning property in the UK | Serving in the armed forces,提供B1級英語聽說證明 | 擁有英國大學學位 | 在英國置業 | 服兵役,0
131,Set F,Which of the following correctly defines ‘Great Britain’?,以下哪一項正確定義「大不列顛」？,"England, Scotland and Wales | England and Wales only | The whole UK including Northern Ireland | The British Isles",英格蘭、蘇格蘭與威爾士 | 只包括英格蘭與威爾士 | 整個英國（含北愛） | 不列顛群島,0
132,Set F,What are the Channel Islands and the Isle of Man?,海峽群島與馬恩島是什麼？,Crown dependencies | UK counties | British Overseas Territories | Part of the Republic of Ireland,王室屬地 | 英國郡 | 英國海外領土 | 愛爾蘭共和國一部分,0
133,Set F,Which parts of the UK have devolved parliaments/assemblies?,哪些地區有下放權力的議會／議會機構？,"Scotland, Wales and Northern Ireland | England only | Wales and England | Scotland only",蘇格蘭、威爾士與北愛爾蘭 | 僅英格蘭 | 威爾士與英格蘭 | 僅蘇格蘭,0
134,Set F,Which statement is true about the Crown dependencies?,以下哪項關於王室屬地的陳述正確？,They have their own governments and are not part of the UK | They are English counties | They use the Euro by law | They send MPs to Westminster,它們有自己的政府且不屬於英國本土 | 它們是英格蘭郡 | 依法使用歐元 | 會選派下議院議員,0
135,Set F,Which UK country is not part of Great Britain?,哪個英國構成國不屬於大不列顛？,Northern Ireland | England | Scotland | Wales,北愛爾蘭 | 英格蘭 | 蘇格蘭 | 威爾士,0
136,Set F,Who governs the UK overall?,整個英國由誰治理？,The UK Parliament at Westminster | The European Parliament | The United Nations | The Crown dependencies’ councils,威斯敏斯特的英國國會 | 歐洲議會 | 聯合國 | 王室屬地議會,0
137,Set F,Which charter first limited a king’s power in England?,哪一份憲章首先限制英格蘭國王權力？,Magna Carta (1215) | Bill of Rights (1689) | Act of Union (1707) | Petition of Right (1628),《大憲章》（1215） | 《權利法案》（1689） | 《聯合法案》（1707） | 《權利請願書》（1628）,0
138,Set F,Who was defeated at the Battle of Culloden (1746)?,誰在1746年卡洛登戰役中被擊敗？,Bonnie Prince Charlie’s Jacobite forces | Oliver Cromwell’s army | William of Orange | The French at Agincourt,查理王子（雅各賓派） | 克倫威爾軍隊 | 奧蘭治的威廉 | 法軍（阿金庫爾）,0
139,Set F,What was the main effect of the Black Death on society?,黑死病對社會的主要影響是？,Labour shortages and social change | Immediate end to feudalism | Population growth | Expansion of the Empire,勞力短缺與社會轉變 | 封建制即時消失 | 人口快速增長 | 帝國擴張,0
140,Set F,Which houses fought the Wars of the Roses?,玫瑰戰爭是哪些家族之間的戰爭？,Lancaster and York | Tudor and Stuart | Whigs and Tories | Parliament and the King,蘭開斯特與約克 | 都鐸與斯圖亞特 | 輝格與保守 | 議會與國王,0
141,Set F,Which act created the Kingdom of Great Britain in 1707?,哪一項法案在1707年創建了大不列顛王國？,Act of Union | Petition of Right | Bill of Rights | Reform Act,《聯合法案》 | 《權利請願書》 | 《權利法案》 | 《改革法案》,0
142,Set F,Who is often called the first ‘Prime Minister’ (1721–1742)?,誰常被視為首位「首相」（1721–1742）？,Sir Robert Walpole | William Pitt the Younger | Benjamin Disraeli | Duke of Wellington,羅伯特·沃波爾爵士 | 小威廉·皮特 | 迪斯雷利 | 威靈頓公爵,0
143,Set F,Which invention enabled mass production of steel in the 19th century?,哪項發明使得19世紀可大量生產鋼鐵？,Bessemer process | Steam hammer | Flying shuttle | Spinning jenny,貝塞麥轉爐法 | 蒸汽錘 | 飛梭 | 珍妮紡紗機,0
144,Set F,Which port city’s bank installed the first cash-dispensing ATM in 1967?,1967年第一部自動提款機由哪家銀行在何處投入使用？,"Barclays in Enfield, north London | Lloyds in Manchester | HSBC in Birmingham | RBS in Edinburgh",倫敦北部恩菲爾德的巴克萊銀行 | 曼徹斯特的勞埃德銀行 | 伯明翰的匯豐銀行 | 愛丁堡的蘇格蘭皇家銀行,0
145,Set F,Which scientist discovered penicillin in 1928?,哪位科學家在1928年發現青黴素？,Alexander Fleming | Ernest Rutherford | James Watson | John Logie Baird,亞歷山大·弗萊明 | 盧瑟福 | 詹姆斯·華生 | 約翰·貝爾德,0
146,Set G,"Which battle phrase refers to rescuing 300,000 men from France in 1940?",哪個詞語指1940年從法國撤走30萬人的行動精神？,Dunkirk spirit | Blitz spirit | Keep calm and carry on | V for Victory,敦刻爾克精神 | 閃電戰精神 | 保持冷靜繼續前行 | 勝利手勢,0
147,Set G,What did the 1833 Emancipation Act achieve across the British Empire?,1833年的《解放法案》在大英帝國實現了什麼？,Abolished slavery | Gave women the vote | Ended child labour | Created the NHS,廢除奴隸制度 | 給予婦女選舉權 | 終止童工 | 創立國民保健制度,0
148,Set G,Who is associated with the ‘wind of change’ speech on decolonisation?,誰的「變革之風」演說與非殖民化相關？,Harold Macmillan | Clement Attlee | Margaret Thatcher | Tony Blair,麥美倫 | 艾德禮 | 戴卓爾夫人 | 貝理雅,0
149,Set G,Which two British-designed aircraft were key in the Battle of Britain?,不列顛之戰中兩款關鍵的英國戰機是？,Spitfire and Hurricane | Concorde and Harrier | Lancaster and Mosquito | Tornado and Typhoon,噴火式與颶風式 | 協和與鷂式 | 蘭開斯特與蚊式 | 龍捲風與颱風,0
150,Set G,Which 18th‑century movement stressed reason and individual rights?,哪個18世紀運動強調理性與個人權利？,The Enlightenment | The Reformation | Romanticism | Chartism,啟蒙運動 | 宗教改革 | 浪漫主義 | 人民憲章運動,0
151,Set G,Which Scottish poet is known as ‘The Bard’ and wrote ‘Auld Lang Syne’?,哪位蘇格蘭詩人被稱為「國民詩人」，寫下〈友誼地久天長〉？,Robert Burns | Dylan Thomas | William Wordsworth | Seamus Heaney,羅伯特·彭斯 | 狄蘭·托馬斯 | 華茲華斯 | 謝默斯·希尼,0
152,Set G,What was the outcome of the 1805 Battle of Trafalgar?,1805年的特拉法加海戰結果是？,British naval victory led by Admiral Nelson | French victory over Britain | Stalemate with heavy losses | Spanish fleet captured the Channel,納爾遜率領的英國艦隊勝利 | 法軍擊敗英國 | 兩敗俱傷僵局 | 西班牙艦隊控制英吉利海峽,0
153,Set G,Which Prime Minister led the UK from 1979 to 1990?,哪位首相在1979至1990年間領導英國？,Margaret Thatcher | John Major | Harold Wilson | Edward Heath,戴卓爾夫人 | 梅傑 | 威爾遜 | 希思,0
154,Set G,Which agreement in 1998 helped the Northern Ireland peace process?,1998年哪一項協議促進北愛和平進程？,Good Friday Agreement | Sunningdale Agreement | Munich Agreement | Schengen Agreement,貝爾法斯特（受難日）協議 | 桑寧代爾協議 | 慕尼黑協議 | 申根協議,0
155,Set G,Which British scientist is credited with inventing the World Wide Web?,哪位英國科學家被認為發明了全球資訊網（WWW）？,Sir Tim Berners‑Lee | Sir Peter Mansfield | Sir Frank Whittle | James Goodfellow,蒂姆·柏納斯‑李 | 彼得·曼斯菲爾德 | 法蘭克·惠特爾 | 詹姆斯·古德費洛,0
156,Set G,"Which city hosts the ‘Edinburgh Festival Fringe’, the world’s largest arts festival?",哪座城市舉辦全球最大的藝穗藝術節？,Edinburgh | Glasgow | London | Cardiff,愛丁堡 | 格拉斯哥 | 倫敦 | 加的夫,0
157,Set G,Which is a traditional flower associated with Wales?,哪一種是與威爾士相關的傳統花卉？,Daffodil | Rose | Shamrock | Thistle,黃水仙 | 玫瑰 | 酢漿草 | 薊花,0
158,Set G,Which sport is most closely associated with the term ‘Wimbledon’?,「溫布頓」最密切相關的運動是？,Tennis | Cricket | Football | Rugby,網球 | 板球 | 足球 | 欖球,0
159,Set G,Which UK day is associated with fireworks on 5 November?,英國哪個日子與11月5日煙花慶祝相關？,Bonfire Night (Guy Fawkes Night) | St George’s Day | Remembrance Day | May Day,煙火夜（蓋·福克斯之夜） | 聖喬治日 | 悼念日 | 五朔節,0
160,Set G,What is the UK’s established church in England?,英格蘭的國家教會是？,The Church of England | The Church of Scotland | The Catholic Church | The Free Church,英格蘭教會 | 蘇格蘭教會 | 天主教會 | 自由教會,0
161,Set G,When do people traditionally wear a red poppy to remember the fallen?,人們傳統上何時佩戴紅罌粟紀念陣亡者？,Around Remembrance Day in November | On 1 March | On Easter Sunday | On 25 December,11月悼念日前後 | 3月1日 | 復活節主日 | 12月25日,0
162,Set G,Which UK nation has St Andrew as its patron saint?,哪個英國地區的主保聖人是聖安德烈？,Scotland | England | Wales | Northern Ireland,蘇格蘭 | 英格蘭 | 威爾士 | 北愛爾蘭,0
163,Set G,In which month is St David’s Day celebrated?,聖大衛日在每年哪一個月份慶祝？,March | April | June | November,三月 | 四月 | 六月 | 十一月,0
164,Set G,Which UK national flower is correctly matched?,以下哪個英國國花配對正確？,England – Rose | Scotland – Daffodil | Wales – Thistle | Northern Ireland – Daffodil,英格蘭－玫瑰 | 蘇格蘭－黃水仙 | 威爾士－薊花 | 北愛－黃水仙,0
165,Set G,Which UK television licence rule is correct?,以下哪一項關於英國電視牌照的規定正確？,You need a TV licence to watch live TV broadcasts | You only need a licence for sports channels | Only businesses need a licence | No licence is needed anymore,觀看直播電視需要牌照 | 只為體育頻道需牌照 | 只有商業用戶需牌照 | 已不再需要牌照,0
166,Set G,What is the lower house of the UK Parliament called?,英國國會的下議院稱為？,House of Commons | House of Lords | Senate | Assembly,下議院 | 上議院 | 參議院 | 議會,0
167,Set G,How often must a UK general election be held at most (under current law)?,按現行法律，英國大選至多相隔多久必須舉行一次？,Every five years | Every three years | Every seven years | Every two years,每五年 | 每三年 | 每七年 | 每兩年,0
168,Set G,Who is responsible for day‑to‑day running of government departments?,誰負責政府部門的日常運作？,Civil servants | Members of the House of Lords | The Monarch | Local councillors,文職公務員 | 上議院議員 | 君主 | 地方議員,0
169,Set G,What is the main role of the Speaker in the House of Commons?,下議院議長的主要職責是？,Chair debates and keep order | Set government policy | Lead the opposition | Appoint judges,主持辯論並維持秩序 | 制定政府政策 | 領導在野黨 | 任命法官,0
170,Set H,"Which UK emergency number connects you to police, fire or ambulance?",英國撥打哪個緊急電話可聯絡警方、消防或救護？,999 | 112 | 101 | 123,999 | 112 | 101（非緊急） | 123,0
171,Set H,What is the non-emergency number for the police in most of the UK?,在英國大部分地區，警方的非緊急聯絡電話是？,101 | 111 | 999 | 123,101 | 111 | 999 | 123,0
172,Set H,Which website publishes UK legislation?,哪個網站可查閱英國現行法例文本？,legislation.gov.uk | gov.uk/acts | royal.uk/laws | parliament.tv,legislation.gov.uk | gov.uk/acts | royal.uk/laws | parliament.tv,0
173,Set H,Who opens the UK Parliament each year with a speech?,每年由誰發表演說開啟國會會期？,The Monarch | The Prime Minister | The Speaker | The Archbishop of Canterbury,君主 | 首相 | 下議院議長 | 坎特伯雷大主教,0
174,Set H,Which body scrutinises the work of the government in the Commons?,哪個機制在下議院審查政府工作？,Select Committees | The Supreme Court | The Electoral Commission | NATO Council,專責委員會（Select Committees） | 最高法院 | 選舉委員會 | 北約理事會,0
175,Set H,What do we call the head of a local council’s administration?,地方議會行政機關的首長通常稱為？,Chief Executive | Chancellor | High Sheriff | Commissioner,行政總監（Chief Executive） | 財相 | 高級郡長 | 專員,0
176,Set H,Which UK tax is deducted from most employees’ wages?,大多數受僱人士薪金會扣除哪一種稅？,Income Tax | Council Tax | Stamp Duty | Capital Gains Tax,入息稅 | 市政稅 | 印花稅 | 資本增值稅,0
177,Set H,Which UK public service is funded by general taxation and free at point of use?,哪項公共服務由一般稅收資助，使用時免費？,The NHS | Universities | Private GP services | TV licence,國民保健制度（NHS） | 大學 | 私人全科服務 | 電視牌照,0
178,Set H,When do people wear a red poppy to commemorate the fallen?,人們何時佩戴紅罌粟以悼念陣亡者？,Around Remembrance Day in November | On New Year’s Day | On May Day | On St George’s Day,每年11月悼念日前後 | 元旦 | 五朔節 | 聖喬治日,0
179,Set H,Which is a UK bank holiday often at the end of August?,下列哪個是英國於8月底附近的公眾假期？,Summer Bank Holiday | Spring Bank Holiday | Good Friday | Boxing Day,夏季銀行假期 | 春季銀行假期 | 耶穌受難日 | 節禮日,0
180,Set H,Which UK sport uses terms like ‘try’ and ‘conversion’?,哪項英國運動有「達陣（try）」與「加踢（conversion）」等術語？,Rugby | Cricket | Tennis | Snooker,欖球 | 板球 | 網球 | 桌球,0
181,Set H,Which novelist wrote ‘Pride and Prejudice’?,誰寫了《傲慢與偏見》？,Jane Austen | Charlotte Brontë | Emily Brontë | Mary Shelley,珍·奧斯汀 | 夏綠蒂·勃朗特 | 艾蜜莉·勃朗特 | 瑪麗·雪萊,0
182,Set H,Which UK city is famous for the Giant’s Causeway nearby?,哪座城市鄰近著名的巨人之路？,Belfast | Cardiff | Edinburgh | Birmingham,貝爾法斯特 | 加的夫 | 愛丁堡 | 伯明翰,0
183,Set H,What is the capital city of Wales?,威爾士的首都是？,Cardiff | Swansea | Newport | Bangor,加的夫 | 斯旺西 | 紐波特 | 班戈,0
184,Set H,Which UK region celebrates St Patrick’s Day as a public holiday?,哪個英國地區把聖派翠克日作為公眾假期？,Northern Ireland | Scotland | England | Wales,北愛爾蘭 | 蘇格蘭 | 英格蘭 | 威爾士,0
185,Set H,What is the union flag of the UK commonly called?,英國的聯合旗通常稱為？,Union Jack | Stars and Stripes | Maple Leaf | Saltire,米字旗（Union Jack） | 星條旗 | 楓葉旗 | 聖安德烈十字旗,0
186,Set H,Which invention is George Stephenson associated with?,喬治·史提芬遜與哪項發明相關？,Steam railway locomotives | Television | Telephone | Jet engine,蒸汽鐵路機車 | 電視 | 電話 | 噴射發動機,0
187,Set H,Who painted ‘The Hay Wain’?,誰畫了《乾草車》？,John Constable | J. M. W. Turner | Thomas Gainsborough | William Hogarth,康斯特布爾 | 透納 | 庚斯博羅 | 霍加斯,0
188,Set H,Which event is marked by fireworks on 5 November?,每年11月5日通常以煙火慶祝的是？,Bonfire Night (Guy Fawkes Night) | St Andrew’s Day | Easter Monday | Burns Night,煙火夜（蓋·福克斯之夜） | 聖安德烈日 | 復活節星期一 | 彭斯之夜,0
189,Set H,Which court is the final court of appeal in the UK for civil cases?,英國民事案件的最終上訴法院是？,The Supreme Court | The High Court | The Crown Court | Magistrates’ Court,最高法院 | 高等法院 | 刑事法院（Crown Court） | 裁判法院,0
190,Set H,What is the minimum age to serve on a jury in the UK?,在英國擔任陪審員的最低年齡是？,18 | 16 | 21 | 25,18歲 | 16歲 | 21歲 | 25歲,0
191,Set H,Which two houses make up the UK Parliament?,英國國會由哪兩院組成？,House of Commons and House of Lords | Senate and Assembly | Dáil and Seanad | States General,下議院與上議院 | 參議院與眾議院 | 愛爾蘭眾議院與參議院 | 荷蘭國會兩院,0
192,Set H,Which 1215 document limited the king and inspired later rights?,1215年的哪份文件限制了國王權力並啟發後世權利？,Magna Carta | Bill of Rights | Act of Union | Petition of Right,大憲章（Magna Carta） | 權利法案 | 聯合法案 | 權利請願書,0
193,Set H,Which is the national flower of Scotland?,以下哪個是蘇格蘭的國花？,Thistle | Rose | Shamrock | Daffodil,薊花 | 玫瑰 | 酢漿草 | 黃水仙,0
194,Set I,Where is the UK Parliament located?,英國國會位於哪裡？,"Westminster, London | Holyrood, Edinburgh | Stormont, Belfast | Cardiff Bay",倫敦威斯敏斯特 | 愛丁堡荷里路德 | 北愛爾蘭斯托蒙特 | 加的夫灣,0
195,Set I,What is the established church in Scotland?,蘇格蘭的國家教會是？,The Church of Scotland (Presbyterian) | The Church of England | The Catholic Church | The Free Church,蘇格蘭教會（長老會） | 英格蘭教會 | 天主教會 | 自由教會,0
196,Set I,Which legal system uses ‘solicitors’ and ‘barristers’ in England and Wales?,英格蘭及威爾士的法律職業分工包括哪兩類？,Solicitors and barristers | Notaries and procurators | Advocates and sheriffs | Judges and clerks,事務律師與出庭大律師 | 公證人與檢察官 | 辯護律師與郡長 | 法官與書記官,0
197,Set I,Who can vote in UK Parliamentary elections (general rule)?,一般而言，哪些人可在英國大選中投票？,"UK, Irish or qualifying Commonwealth citizens aged 18+ resident and registered | Anyone paying tax in the UK | EU citizens living in the UK | Tourists",年滿18歲且已登記的英國、公民身份為愛爾蘭或合資格英聯邦人士 | 任何在英國納稅的人 | 在英國的歐盟公民 | 旅客,0
198,Set I,How many jurors serve on a jury in England and Wales (standard)?,在英格蘭及威爾士，標準陪審團由多少名陪審員組成？,12 | 7 | 9 | 15,12名 | 7名 | 9名 | 15名,0
199,Set I,What is the national day of Scotland?,蘇格蘭的國慶（主保聖人日）是？,St Andrew’s Day (30 November) | St George’s Day (23 April) | St David’s Day (1 March) | St Patrick’s Day (17 March),聖安德烈日（11月30日） | 聖喬治日（4月23日） | 聖大衛日（3月1日） | 聖派翠克日（3月17日）,0
200,Set I,Which scientist discovered the structure of DNA alongside Watson and Crick?,與華生和克里克共同揭示 DNA 結構的英國科學家是？,Rosalind Franklin (contributed crucial X-ray data) | Isaac Newton | Charles Darwin | Michael Faraday,羅莎琳·富蘭克林（貢獻關鍵X光數據） | 艾薩克·牛頓 | 查爾斯·達爾文 | 法拉第,0
201,Set I,Which Prime Minister led the formation of the NHS (post-war government)?,哪位首相領導的戰後政府建立了 NHS？,Clement Attlee | Winston Churchill (1951–55) | Harold Wilson | John Major,艾德禮 | 邱吉爾（1951–55） | 威爾遜 | 梅傑,0
202,Set I,What is celebrated on Burns Night?,彭斯之夜主要紀念誰？,Scottish poet Robert Burns | Shakespeare | Dylan Thomas | Seamus Heaney,蘇格蘭詩人羅伯特·彭斯 | 莎士比亞 | 狄蘭·托馬斯 | 謝默斯·希尼,0
203,Set I,Which UK coin features the Royal Shield when combined?,哪一組英國硬幣合起來會拼出皇家盾徽圖案？,1p–50p coins (pre-2020 designs) | £1 coins only | £2 coins only | Old £1 notes,1便士至50便士硬幣（2020年前設計） | 只有1鎊硬幣 | 只有2鎊硬幣 | 舊1鎊紙幣,0
204,Set I,What is the role of the Crown Prosecution Service (CPS)?,皇家檢控署（CPS）的職能是？,Prosecute criminal cases investigated by the police | Defend accused persons | Make the law | Collect taxes,起訴警方調查的刑事案件 | 為被告辯護 | 立法 | 徵稅,0
205,Set I,Which UK festival is associated with Notting Hill in London?,哪個著名節慶與倫敦諾丁山有關？,Notting Hill Carnival | Glastonbury Festival | Edinburgh Fringe | Henley Royal Regatta,諾丁山嘉年華 | 格拉斯頓伯里音樂節 | 愛丁堡藝穗節 | 亨利皇家賽艇會,0
206,Set I,Which river flows through London?,哪條河流經倫敦市中心？,The Thames | The Severn | The Clyde | The Tyne,泰晤士河 | 塞文河 | 克萊德河 | 泰恩河,0
207,Set I,Which British territory is at the southern tip of the Iberian Peninsula?,位於伊比利半島南端的英國屬地是？,Gibraltar | Falkland Islands | Bermuda | Cayman Islands,直布羅陀 | 福克蘭群島 | 百慕達 | 開曼群島,0
208,Set I,What do MPs stand for in the House of Commons?,縮寫 MP 代表甚麼？,Members of Parliament | Ministers of Parliament | Municipal Presidents | Magistrate Protectors,國會議員 | 國會部長 | 市政首長 | 裁判官保佐,0
209,Set I,"What is the UK’s highest court in criminal cases for England, Wales and Northern Ireland?",對英格蘭、威爾士及北愛爾蘭的刑事案件，英國的最高法院是？,The Supreme Court | The Crown Court | The Court of Appeal (final) | The Privy Council,最高法院 | 刑事法院（Crown Court） | 上訴法院（非最終） | 樞密院,0
210,Set I,Which treaty created the United Kingdom of Great Britain and Ireland in 1801?,1801年哪項法案/條約使大不列顛與愛爾蘭合併？,Act of Union 1800 (came into force 1801) | Treaty of Versailles | Union with Scotland Act 1706 | Reform Act 1832,1800年《聯合法案》（1801年生效） | 凡爾賽條約 | 1706年蘇格蘭聯合法案 | 1832年改革法案,0
211,Set I,Which UK body sets interest rates independently of government since 1997?,自1997年起，哪個機構獨立決定利率？,Bank of England’s Monetary Policy Committee | HM Treasury | House of Lords | Financial Conduct Authority,英格蘭銀行貨幣政策委員會 | 財政部 | 上議院 | 金融行為監管局,0
212,Set I,Which is the patron saint of England?,英格蘭的主保聖人是？,St George | St Andrew | St David | St Patrick,聖喬治 | 聖安德烈 | 聖大衛 | 聖派翠克,0
213,Set I,Which UK document from 1689 affirmed the rights of Parliament?,1689年的哪份文件確認了國會的權利？,Bill of Rights | Petition of Right | Habeas Corpus Act | Act of Settlement,權利法案 | 權利請願書 | 人身保護法 | 王位繼承法,0
214,Set I,What is the small claims track mainly used for in civil courts?,民事法庭中的小額索償程序主要用於？,Low-value disputes (e.g. consumer claims) | Serious criminal trials | Divorce proceedings | Immigration appeals,低金額糾紛（如消費索償） | 嚴重刑事審判 | 離婚程序 | 移民上訴,0
215,Set I,Which UK city hosts the HMS Victory museum ship?,哪座英國城市收藏博物館艦「勝利號」？,Portsmouth | Plymouth | Liverpool | Bristol,樸次茅斯 | 普利茅斯 | 利物浦 | 布里斯托,0
216,Set I,Which country is NOT part of the UK?,以下哪個國家**不**屬於英國？,Republic of Ireland | Wales | Scotland | England,愛爾蘭共和國 | 威爾士 | 蘇格蘭 | 英格蘭,0
217,Set I,Which city hosts the UK Parliament of Scotland (the Scottish Parliament)?,蘇格蘭議會（蘇格蘭國會）位於哪座城市？,Edinburgh (Holyrood) | Glasgow | Aberdeen | Inverness,愛丁堡（荷里路德） | 格拉斯哥 | 阿伯丁 | 因弗內斯,0
